LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2005-Q4;Q4-2005;SEK;Swedish Krona;6;Millions;2021;2021;288645;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q1;Q1-2006;SEK;Swedish Krona;6;Millions;2021;2021;291457;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q2;Q2-2006;SEK;Swedish Krona;6;Millions;2021;2021;292060;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q3;Q3-2006;SEK;Swedish Krona;6;Millions;2021;2021;294830;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2006-Q4;Q4-2006;SEK;Swedish Krona;6;Millions;2021;2021;295414;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q1;Q1-2007;SEK;Swedish Krona;6;Millions;2021;2021;294459;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q2;Q2-2007;SEK;Swedish Krona;6;Millions;2021;2021;296663;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q3;Q3-2007;SEK;Swedish Krona;6;Millions;2021;2021;295860;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2007-Q4;Q4-2007;SEK;Swedish Krona;6;Millions;2021;2021;297973;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q1;Q1-2008;SEK;Swedish Krona;6;Millions;2021;2021;297879;;
